,Unnamed: 0,lat,lon,alt,bac,ano,mes,pr_local,pnt,IDW
1806,,-8.238549579800534,-36.5,,,1994,7,,-8.238549579800534;-36.5,28.248134306080818
1807,,-8.238549579800534,-36.5,,,1994,8,,-8.238549579800534;-36.5,7.610279715031594
1808,,-8.238549579800534,-36.5,,,1994,9,,-8.238549579800534;-36.5,0.11173480168745425
1809,,-8.238549579800534,-36.5,,,1994,10,,-8.238549579800534;-36.5,0.06384845810711673
1810,,-8.238549579800534,-36.5,,,1994,11,,-8.238549579800534;-36.5,0.0
1811,,-8.238549579800534,-36.5,,,1994,12,,-8.238549579800534;-36.5,4.797565785370207
1812,,-8.238549579800534,-36.5,,,1995,1,,-8.238549579800534;-36.5,51.81312129005512
1813,,-8.238549579800534,-36.5,,,1995,2,,-8.238549579800534;-36.5,132.59816854008096
1814,,-8.238549579800534,-36.5,,,1995,3,,-8.238549579800534;-36.5,116.35710611630338
1815,,-8.238549579800534,-36.5,,,1995,4,,-8.238549579800534;-36.5,59.62086494464401
1816,,-8.238549579800534,-36.5,,,1995,5,,-8.238549579800534;-36.5,79.9622951381745
1817,,-8.238549579800534,-36.5,,,1995,6,,-8.238549579800534;-36.5,14.472941624666111
1818,,-8.238549579800534,-36.5,,,1995,7,,-8.238549579800534;-36.5,21.103592052836426
1819,,-8.238549579800534,-36.5,,,1995,8,,-8.238549579800534;-36.5,0.0
1820,,-8.238549579800534,-36.5,,,1995,9,,-8.238549579800534;-36.5,0.0
1821,,-8.238549579800534,-36.5,,,1995,10,,-8.238549579800534;-36.5,0.0
1822,,-8.238549579800534,-36.5,,,1995,11,,-8.238549579800534;-36.5,46.467826709134044
1823,,-8.238549579800534,-36.5,,,1995,12,,-8.238549579800534;-36.5,0.8619541844460759
1824,,-8.238549579800534,-36.5,,,1996,1,,-8.238549579800534;-36.5,29.750924824155376
1825,,-8.238549579800534,-36.5,,,1996,2,,-8.238549579800534;-36.5,15.56449522963926
1826,,-8.238549579800534,-36.5,,,1996,3,,-8.238549579800534;-36.5,88.4818221903721
1827,,-8.238549579800534,-36.5,,,1996,4,,-8.238549579800534;-36.5,131.26791159985382
1828,,-8.238549579800534,-36.5,,,1996,5,,-8.238549579800534;-36.5,50.88126385459784
1829,,-8.238549579800534,-36.5,,,1996,6,,-8.238549579800534;-36.5,16.053530867983756
1830,,-8.238549579800534,-36.5,,,1996,7,,-8.238549579800534;-36.5,10.958616312685816
1831,,-8.238549579800534,-36.5,,,1996,8,,-8.238549579800534;-36.5,11.465398144640575
1832,,-8.238549579800534,-36.5,,,1996,9,,-8.238549579800534;-36.5,6.594571519924939
1833,,-8.238549579800534,-36.5,,,1996,10,,-8.238549579800534;-36.5,6.447194261075262
1834,,-8.238549579800534,-36.5,,,1996,11,,-8.238549579800534;-36.5,15.726319100411125
1835,,-8.238549579800534,-36.5,,,1996,12,,-8.238549579800534;-36.5,7.543383485961182
1836,,-8.238549579800534,-36.5,,,1997,1,,-8.238549579800534;-36.5,52.32119626705857
1837,,-8.238549579800534,-36.5,,,1997,2,,-8.238549579800534;-36.5,15.261965805890483
1838,,-8.238549579800534,-36.5,,,1997,3,,-8.238549579800534;-36.5,178.5702286919862
1839,,-8.238549579800534,-36.5,,,1997,4,,-8.238549579800534;-36.5,44.764921410636845
1840,,-8.238549579800534,-36.5,,,1997,5,,-8.238549579800534;-36.5,68.00680169190098
1841,,-8.238549579800534,-36.5,,,1997,6,,-8.238549579800534;-36.5,5.979458183949163
1842,,-8.238549579800534,-36.5,,,1997,7,,-8.238549579800534;-36.5,20.393067043281025
1843,,-8.238549579800534,-36.5,,,1997,8,,-8.238549579800534;-36.5,11.780333095397026
1844,,-8.238549579800534,-36.5,,,1997,9,,-8.238549579800534;-36.5,0.0
1845,,-8.238549579800534,-36.5,,,1997,10,,-8.238549579800534;-36.5,7.502193827586215
1846,,-8.238549579800534,-36.5,,,1997,11,,-8.238549579800534;-36.5,0.3514903367084732
1847,,-8.238549579800534,-36.5,,,1997,12,,-8.238549579800534;-36.5,32.997337474934476
1848,,-8.238549579800534,-36.5,,,1998,1,,-8.238549579800534;-36.5,39.186524582424106
1849,,-8.238549579800534,-36.5,,,1998,2,,-8.238549579800534;-36.5,6.99140616272928
1850,,-8.238549579800534,-36.5,,,1998,3,,-8.238549579800534;-36.5,10.331497556456961
1851,,-8.238549579800534,-36.5,,,1998,4,,-8.238549579800534;-36.5,24.570426504567525
1852,,-8.238549579800534,-36.5,,,1998,5,,-8.238549579800534;-36.5,0.0
1853,,-8.238549579800534,-36.5,,,1998,6,,-8.238549579800534;-36.5,4.827093393239183
1854,,-8.238549579800534,-36.5,,,1998,7,,-8.238549579800534;-36.5,6.620699737409998
1855,,-8.238549579800534,-36.5,,,1998,8,,-8.238549579800534;-36.5,10.056034732619363
1856,,-8.238549579800534,-36.5,,,1998,9,,-8.238549579800534;-36.5,0.0
