,lat,lon,ano,mes,pr
1559,-8.238549579800534,321.5,2016,12,0.0011579723140407
1560,-8.238549579800534,321.5,2017,1,0.00142428122556
1561,-8.238549579800534,321.5,2017,2,0.0035837303508
1562,-8.238549579800534,321.5,2017,3,0.0036977292518
1563,-8.238549579800534,321.5,2017,4,0.002101731782
1564,-8.238549579800534,321.5,2017,5,0.001674002363535
1565,-8.238549579800534,321.5,2017,6,0.00025422332796
1566,-8.238549579800534,321.5,2017,7,0.0001151156308
1567,-8.238549579800534,321.5,2017,8,0.0001035129184627
1568,-8.238549579800534,321.5,2017,9,3.1371146906682e-05
1569,-8.238549579800534,321.5,2017,10,1.187280838349769e-05
1570,-8.238549579800534,321.5,2017,11,0.00068375654584112
1571,-8.238549579800534,321.5,2017,12,0.000191602278267
1572,-8.238549579800534,321.5,2018,1,0.0023124651502093
1573,-8.238549579800534,321.5,2018,2,0.002154848151
1574,-8.238549579800534,321.5,2018,3,0.0032581425398
1575,-8.238549579800534,321.5,2018,4,0.0024846285835
1576,-8.238549579800534,321.5,2018,5,0.00052393510407
1577,-8.238549579800534,321.5,2018,6,0.000323252611268
1578,-8.238549579800534,321.5,2018,7,7.47437129023e-05
1579,-8.238549579800534,321.5,2018,8,5.99690819048e-05
1580,-8.238549579800534,321.5,2018,9,1.56324485593378e-05
1581,-8.238549579800534,321.5,2018,10,6.18458742220817e-05
1582,-8.238549579800534,321.5,2018,11,6.69481817736e-05
1583,-8.238549579800534,321.5,2018,12,0.0005664778755695729
1584,-8.238549579800534,321.5,2019,1,0.003749710198177
1585,-8.238549579800534,321.5,2019,2,0.00330149321906
1586,-8.238549579800534,321.5,2019,3,0.004906356072
1587,-8.238549579800534,321.5,2019,4,0.001172762633589
1588,-8.238549579800534,321.5,2019,5,0.000363659769409
1589,-8.238549579800534,321.5,2019,6,0.000296191695626
1590,-8.238549579800534,321.5,2019,7,0.00014662910621999998
1591,-8.238549579800534,321.5,2019,8,3.65438304332e-05
1592,-8.238549579800534,321.5,2019,9,8.659088032812e-06
1593,-8.238549579800534,321.5,2019,10,1.85163564016939e-06
1594,-8.238549579800534,321.5,2019,11,4.039381901305e-06
1595,-8.238549579800534,321.5,2019,12,6.6183492438855e-05
1596,-8.238549579800534,321.5,2020,1,0.0020169632908265
1597,-8.238549579800534,321.5,2020,2,0.00126008761016
1598,-8.238549579800534,321.5,2020,3,0.0034286104051
1599,-8.238549579800534,321.5,2020,4,0.002750060119
1600,-8.238549579800534,321.5,2020,5,0.0007880626837280001
1601,-8.238549579800534,321.5,2020,6,0.00042668602263999997
1602,-8.238549579800534,321.5,2020,7,9.09329969076e-05
1603,-8.238549579800534,321.5,2020,8,2.1956863318688e-05
1604,-8.238549579800534,321.5,2020,9,4.775037801872e-06
1605,-8.238549579800534,321.5,2020,10,2.9664006449177e-05
1606,-8.238549579800534,321.5,2020,11,3.719018324255e-05
1607,-8.238549579800534,321.5,2020,12,0.001142392131477
1608,-8.238549579800534,321.5,2021,1,0.001458577470491
1609,-8.238549579800534,321.5,2021,2,0.0015910852865
1610,-8.238549579800534,321.5,2021,3,0.0042972449604
1611,-8.238549579800534,321.5,2021,4,0.0032268501477
1612,-8.238549579800534,321.5,2021,5,0.0015263432697
1613,-8.238549579800534,321.5,2021,6,0.00034665117878999996
1614,-8.238549579800534,321.5,2021,7,9.3727096545e-05
1615,-8.238549579800534,321.5,2021,8,3.65571962192e-05
1616,-8.238549579800534,321.5,2021,9,3.48108433744433e-05
1617,-8.238549579800534,321.5,2021,10,1.02446169838645e-05
1618,-8.238549579800534,321.5,2021,11,4.040815203257e-05
1619,-8.238549579800534,321.5,2021,12,0.00030525010993723403
1620,-8.238549579800534,321.5,2022,1,0.0031593740381
1621,-8.238549579800534,321.5,2022,2,0.00393438765239
1622,-8.238549579800534,321.5,2022,3,0.0062486376245
